商品名,item_id,価格USD,人気度rank,primary_market,区分,出品国,根拠
Leica BLK360 G1 3D Laser Scanner Excellent Condition Near Mint w/ Accessories,358286453220,6600.0,E,mixed_global,優先国,"DE,AU",DE:3 AU:2
Tektronix DPO7254 2.5GHz 4CH Digital Phosphor Oscilloscope DPO7000 w/4 P6139A,358263444562,5800.0,C,unknown,出さない,,非US実績なし
Mitutoyo SURFTEST SJ-410 Surface Roughness Tester Japan 01,358244264123,5000.0,E,unknown,出さない,,非US実績なし
Tektronix TDS3054C Digital Phosphor Oscilloscope 500MHz 4CH P6139A Probes Test,358521324471,4950.0,D,unknown,出さない,,非US実績なし
Tektronix TLA5202B Logic Analyzer 68ch 2GHz Digital Logic Analyzer Tested,358638711967,3280.0,E,unknown,出さない,,非US実績なし
Mitutoyo SJ-310 Surface Roughness Tester Standard Drive 4mN 178-570-22 New,358195739493,2998.0,E,unknown,出さない,,非US実績なし
RION VM-83 Vibration Meter w/ AC Adapter Manual Tested Used Japan,358321256986,2890.0,E,unknown,出さない,,非US実績なし
HIOKI IM3533 LCR Meter 1mHz–200kHz with Calibration Certificate Tested from JPN,357504012041,2790.0,D,mixed_global,優先国,DE,DE:1
Mitutoyo SJ-400 Surftest Surface Roughness Tester 178-946-3 4mN SJ-401 Very Good,358208534918,2780.0,D,unknown,出さない,,非US実績なし
KEYENCE XG-X2700 Image Processing Controller High-Speed Sensor System New,358346794459,2348.0,C,global_only,出さない,,非US実績なし
Mitutoyo SJ-220 Surface Roughness Tester Standard Drive 4mN Model 178-742-11 New,358195666531,2299.0,E,global_only,優先国,DE,DE:1
KEYENCE XG-X2700 High-Speed Vision System Controller New in Box from Japan,357079442078,2250.0,C,global_only,出さない,,非US実績なし
AMETEK JOFRA ITC-650A Temperature Calibrator Calibrated 2024 R3446,358334960391,2200.0,E,unknown,出さない,,非US実績なし
RION NA-28 Sound Level Meter Precision Sound Level Meter Free Shipping Japan,358335153622,2200.0,E,unknown,出さない,,非US実績なし
Nikon COOLSCAN LS-5000 ED Film Scanner w/ SA-21 Adapter Excellent Tested Japan,358223890376,2100.0,D,US_only,優先国,"DE,CA",DE:6 CA:1
MUTEC REF10 NANO 10MHz Reference Master Clock Generator Black w/ Box Japan,358203489136,2000.0,D,unknown,出さない,,非US実績なし
KEYENCE XG-X2700 Vision System Controller XG-H500C H500M Cameras CA-LMHR08 Set,358281642898,2000.0,D,global_only,優先国,DE,DE:4
Thermo Scientific RadEye B20-ER Survey Meter,358062291688,1999.0,E,unknown,出さない,,非US実績なし
Agilent 8164B Lightwave Measurement System w/ 81600B 81636B 81566A Japan,357902546731,1980.0,C,unknown,出さない,,非US実績なし
ENERPAC FSH14 Hydraulic Flange Spreader Tool NEW Sealed Japan,358223525062,1980.0,D,unknown,出さない,,非US実績なし
RION NL-52 Precision Sound Level Meter w/ NX-42EX Option Tested Working,358240066116,1980.0,C,unknown,出さない,,非US実績なし
Anritsu MG3700A Vector Signal Generator OPT 001 002 021 250kHz–3GHz Tested Power,358244105322,1980.0,D,unknown,優先国,DE,DE:2
Anritsu Site Master S331E compact Cable & Antenna Analyzer Calibrated R3366,358120580440,1980.0,E,unknown,優先国,DE,DE:1
Testo 350 Emission Analyzer Kit Control Unit Analyzer Box Software 2022 TestGOOD,358120654421,1980.0,E,unknown,出さない,,非US実績なし
HACH DR3900 VIS Spectrophotometer Water Analysis Lab Instrument,358046641356,1680.0,E,unknown,出さない,,非US実績なし
Hioki FT3470-55 Insulation Tester Used Tested Battery Not Included from Japan,358646779396,1599.0,E,unknown,出さない,,非US実績なし
RENISHAW RMP60M Radio Probe New w/ Batteries & Manual from Japan,358140706429,1580.0,D,unknown,優先国,DE,DE:1
Nikon SUPER COOLSCAN 5000 ED LS-5000ED Film Scanner SA-21 Tested Fair Condition,358487417178,1580.0,C,global_only,優先国,"DE,AU",DE:2 AU:1
Leica DISTO S910 Laser Distance Measurer Unused In Storage From Japan,358598079431,1548.0,E,global_only,出さない,,非US実績なし
Agilent 34980A Multifunction Switch/Measure Unit w/ 34921A Module + 34925T x2,358100344265,1540.0,E,unknown,出さない,,非US実績なし
ADVANTEST R8340A Ultra High Resistance Meter 10fA–20mA Tested from Japan,357218843397,1490.0,A,unknown,優先国,DE,DE:1
Tektronix TLA5202 68 Channel Logic Analyzer Tested Working Power Cord Includ,358544991464,1480.0,E,unknown,出さない,,非US実績なし
RION NL-42 Sound Level Meter Noise Meter w/ Accessories Tested Used Japan,358321144303,1380.0,D,unknown,出さない,,非US実績なし
HIOKI U8553 High-Speed Voltage Unit NEW from Japan,358526485672,1380.0,E,unknown,出さない,,非US実績なし
HIOKI 8826 Memory HiCorder FFT Recorder 8936 x8 16CH L9198 Tested Japan,358544991870,1380.0,E,unknown,出さない,,非US実績なし
Fuji Electric FSCS10A2-00J Portable Ultrasonic Flowmeter Portaflow Used Japan,358394702252,1350.0,D,mixed_global,優先国,IT,IT:1
ISHIDA UNI-9 DBP D1216 PC-Based Price Computing Scale Used Japan,357920334816,1310.0,C,mixed_global,出さない,,非US実績なし
Keithley 237 High Voltage Source Measure Unit SMU Tested Used from Japan JUNK,358352049570,1280.0,D,unknown,優先国,FR,FR:1
GRAPHTEC GL2000 High-Voltage High-Speed 4-Channel Data Logger Used Good Japan,358235937830,1250.0,E,unknown,優先国,FR,FR:1
HIOKI 9783 Electric Carrying Case Hard Case for 8847 and MR8847 NEW from JAPAN,357011020594,1247.99,C,unknown,出さない,,非US実績なし
Konica Minolta SPAD-502Plus Digital Chlorophyll Meter SPAD502Plus from Japan NEW,357321100358,1229.0,B,mixed_global,優先国,"AU,FR",AU:1 FR:1
Advantest R3132 Spectrum Analyzer 9kHz–3GHz 200VA 50/60Hz Tested Power On Used,357979944862,1200.0,C,unknown,出さない,,非US実績なし
RION NL-21 Integrating Sound Level Meter Tested Working Used Good Condition,358544992016,1190.0,E,unknown,出さない,,非US実績なし
KEYSIGHT 34980A Data Acquisition System Mainframe with Accessories from Japan,357942077313,1180.0,E,unknown,出さない,,非US実績なし
Keyence VT5-WX12 Touch Panel with Drive Recorder Playback Function New,358610773989,1176.0,E,US_only,出さない,,非US実績なし
Enerpac FSH-14 Hydraulic Flange Spreader Separator Tool USED Tested from Japan,358212353572,1098.99,E,unknown,出さない,,非US実績なし
OPSODIS 1 Active Speaker Kajima Corporation OPSODIS1 Silver NEW from Japan,358329820504,999.0,C,unknown,出さない,,非US実績なし
GRAPHTEC GL840-M Midi LOGGER Data Logger B-564 Tested Working from Japan,358369896020,999.0,D,unknown,出さない,,非US実績なし
YOKOGAWA CA150 Handy Calibrator DC Voltage Current Source Measure with RJ Sensor,357896895134,998.0,C,unknown,出さない,,非US実績なし
Hollyland Mars T1000 Wireless Intercom System w/ Hard Case Excellent from Japan,358119578496,998.0,B,mixed_global,優先国,"AU,DE",AU:1 DE:1
OPSODIS 1 Active Speaker Kajima Corporation OPSODIS1 Black NEW from Japan,358177619706,997.0,D,unknown,出さない,,非US実績なし
EIMAC 3CX1500A7 8877 Vacuum Tube RF Power Triode Tested Used Japan,358319586038,980.0,D,unknown,出さない,,非US実績なし
SNOOPY IN FASHION Photo Book First Edition HARDCOVER w/ Rare Event Ticket 1980s,356771173234,980.0,A,US_only,出さない,,非US実績なし
Fluke 8846A Digital Multimeter 100V For Parts/Not Working junk Japan,357923547945,980.0,E,unknown,出さない,,非US実績なし
YOKOGAWA AQ1200A OTDR Multi Field Tester AQ1200A-HJ-M-USC/SLT/VLS Tested Japan,358371037913,980.0,E,global_only,優先国,DE,DE:2
Tektronix TDS3054B Digital Phosphor Oscilloscope 500MHz 4CH TDS 3054B Tested,358371059203,980.0,E,mixed_global,出さない,,非US実績なし
OKUMA BDU-50A Drive-AC Servo Unit 5A373 Tested Working Used Japan,358640916096,980.0,E,unknown,出さない,,非US実績なし
DENSO DST-i Diagnostic Scan Tool DN-VIM-003 (No LCD Model) from Japan,357942138881,978.0,D,US_only,出さない,,非US実績なし
OPSODIS 1 Active Speaker Kajima Corporation OPSODIS1 Silver Excellent from Japan,358153644718,950.0,D,unknown,出さない,,非US実績なし
Keyence IV3-G120 Compact AI Vision Sensor Amplifier Unit New from Japan,357014028076,950.0,B,mixed_global,優先国,"CA,DE",CA:1 DE:1
Hollyland Mars T1000 Wireless Intercom System Set Tested from Japan,358036087171,930.0,D,mixed_global,優先国,"AU,DE",AU:1 DE:1
GRAPHTEC MIDI LOGGER GL820 Handy Data Logger 20-Channel Portable Recorder Tested,357948010290,915.0,D,mixed_global,優先国,"FR,IT",FR:1 IT:1
OPSODIS 1 3D Audio Kajima Corporation OPSODIS1 Black Excellent from Japan,357863771876,895.0,A,unknown,出さない,,非US実績なし
